Specimen 1
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
Strain, Stress (MPa)
0,0
0.0002,8.18681
0.0004,15.12708
0.0006,21.54531
0.0008,27.15863
0.001,31.85951
0.0012,35.93064
0.0014,39.10504
0.0016,41.12918
0.0018,42.22477
0.002,41.61436
0.0022,40.12468
0.0024,38.49965
0.0026,36.50799
0.0028,34.38544
0.003,32.01372
0.0032,29.52003
0.0034,27.18341
0.0036,25.13892
0.0038,23.22954
0.004,21.57802
0.0042,20.29214
0.0044,19.22776
0.0046,18.13359
0.0048,17.00302
0.005,16.02586
0.0052,15.21619
0.0054,14.55084
0.0056,14.03286
0.0058,13.54513
0.006,13.05703
0.0062,12.6045
0.0064,12.18599
0.0066,11.80595

Specimen 32
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,8.77498
0.0004,16.11658
0.0006,23.04441
0.0008,29.40922
0.001,34.94596
0.0012,39.71883
0.0014,43.56566
0.0016,46.41232
0.0018,47.76089
0.002,48.22175
0.0022,46.72473
0.0024,43.1923
0.0026,40.15938
0.0028,37.15834
0.003,34.2793
0.0032,31.85557
0.0034,29.99277
0.0036,28.35617
0.0038,26.65789
0.004,24.95784
0.0042,23.31134
0.0044,21.71701
0.0046,20.18366
0.0048,18.7762
0.005,17.45744
0.0052,16.29289
0.0054,15.33529
0.0056,14.52292
0.0058,13.82494
0.006,13.23635
0.0062,12.78506
0.0064,12.39526
0.0066,12.037

Specimen 33
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,10.05818
0.0004,17.85462
0.0006,24.93587
0.0008,31.16258
0.001,36.35748
0.0012,40.49718
0.0014,43.36829
0.0016,44.1889
0.0018,44.03936
0.002,42.20252
0.0022,40.44495
0.0024,38.84946
0.0026,36.9359
0.0028,34.31791
0.003,31.36046
0.0032,28.62449
0.0034,26.55461
0.0036,24.85466
0.0038,23.33339
0.004,21.92342
0.0042,20.63138
